/projectnb/modselrl/venvs/mynewenv/lib/python3.10/site-packages/gymnasium/envs/registration.py:517: DeprecationWarning: [33mWARN: The environment HalfCheetah-v4 is out of date. You should consider upgrading to version `v5`.[0m
  logger.deprecation(
global_step=124123, episodic_return=[66.43404524]
SPS: 862
global_step=125124, episodic_return=[56.11767407]
global_step=126125, episodic_return=[208.07405215]
SPS: 862
global_step=127126, episodic_return=[211.24230264]
global_step=128127, episodic_return=[214.26913839]
SPS: 862
global_step=129128, episodic_return=[291.10430464]
global_step=130129, episodic_return=[129.40552336]
SPS: 861
global_step=131130, episodic_return=[203.30047634]
global_step=132131, episodic_return=[312.34789128]
SPS: 861
global_step=133132, episodic_return=[164.7584512]
global_step=134133, episodic_return=[237.48278984]
global_step=135134, episodic_return=[175.04566471]
SPS: 861
global_step=136135, episodic_return=[99.53627511]
global_step=137136, episodic_return=[168.19486599]
SPS: 861
global_step=138137, episodic_return=[-29.70742063]
global_step=139138, episodic_return=[139.33165592]
SPS: 861
global_step=140139, episodic_return=[51.9872735]
global_step=141140, episodic_return=[107.93081891]
SPS: 861
global_step=142141, episodic_return=[156.91913169]
global_step=143142, episodic_return=[38.78553396]
SPS: 861
global_step=144143, episodic_return=[111.4739472]
global_step=145144, episodic_return=[-9.64603552]
SPS: 862
global_step=146145, episodic_return=[166.06704741]
global_step=147146, episodic_return=[263.24628356]
SPS: 862
global_step=148147, episodic_return=[207.18338872]
global_step=149148, episodic_return=[66.26017328]
SPS: 861
global_step=150149, episodic_return=[85.5615199]
global_step=151150, episodic_return=[66.74550915]
SPS: 862
global_step=152151, episodic_return=[96.0955698]
global_step=153152, episodic_return=[88.24188624]
SPS: 862
global_step=154153, episodic_return=[31.09549572]
global_step=155154, episodic_return=[46.29353655]
SPS: 862
global_step=156155, episodic_return=[192.58508554]
global_step=157156, episodic_return=[95.84378799]
SPS: 862
global_step=158157, episodic_return=[34.16425315]
global_step=159158, episodic_return=[12.05785881]
SPS: 862
global_step=160159, episodic_return=[113.83350298]
global_step=161160, episodic_return=[107.83109452]
SPS: 862
global_step=162161, episodic_return=[57.30684418]
global_step=163162, episodic_return=[-110.38136882]
SPS: 862
global_step=164163, episodic_return=[29.77499485]
global_step=165164, episodic_return=[25.94501712]
SPS: 862
global_step=166165, episodic_return=[-24.70780175]
global_step=167166, episodic_return=[0.0416879]
SPS: 862
global_step=168167, episodic_return=[-176.44379846]
global_step=169168, episodic_return=[-322.32806996]
SPS: 862
global_step=170169, episodic_return=[96.95668545]
global_step=171170, episodic_return=[-65.66175121]
SPS: 862
global_step=172171, episodic_return=[118.71861985]
global_step=173172, episodic_return=[27.83612913]
SPS: 862
global_step=174173, episodic_return=[57.25941828]
global_step=175174, episodic_return=[-59.24824153]
SPS: 862
global_step=176175, episodic_return=[52.57740088]
global_step=177176, episodic_return=[-177.61802195]
SPS: 862
global_step=178177, episodic_return=[-24.23710487]
global_step=179178, episodic_return=[-14.4181742]
global_step=180179, episodic_return=[-87.7602333]
SPS: 862
global_step=181180, episodic_return=[-11.35295947]
global_step=182181, episodic_return=[-3.59238661]
SPS: 861
global_step=183182, episodic_return=[5.16912625]
global_step=184183, episodic_return=[117.53616436]
SPS: 861
global_step=185184, episodic_return=[-12.14865541]
global_step=186185, episodic_return=[-0.08922521]
SPS: 861
global_step=187186, episodic_return=[17.57982236]
global_step=188187, episodic_return=[15.00631356]
SPS: 861
global_step=189188, episodic_return=[63.64479608]
global_step=190189, episodic_return=[-58.95639183]
SPS: 861
global_step=191190, episodic_return=[-19.08021223]
global_step=192191, episodic_return=[97.15587217]
SPS: 861
global_step=193192, episodic_return=[49.74614974]
global_step=194193, episodic_return=[123.77991045]
SPS: 861
global_step=195194, episodic_return=[55.97581311]
global_step=196195, episodic_return=[97.91312314]
SPS: 862
global_step=197196, episodic_return=[89.83133677]
global_step=198197, episodic_return=[11.8042267]
SPS: 862
global_step=199198, episodic_return=[30.71914057]
global_step=200199, episodic_return=[-16.78665202]
SPS: 862
global_step=201200, episodic_return=[35.06735739]
global_step=202201, episodic_return=[2.80069317]
SPS: 862
global_step=203202, episodic_return=[40.1517587]
global_step=204203, episodic_return=[-27.36080083]
SPS: 862
global_step=205204, episodic_return=[-53.34255213]
global_step=206205, episodic_return=[-109.06697687]
SPS: 862
global_step=207206, episodic_return=[-36.83617338]
global_step=208207, episodic_return=[7.4566161]
SPS: 862
global_step=209208, episodic_return=[92.8868779]
global_step=210209, episodic_return=[20.01961828]
SPS: 862
global_step=211210, episodic_return=[12.17289562]
global_step=212211, episodic_return=[-3.56281789]
SPS: 861
global_step=213212, episodic_return=[98.89071058]
global_step=214213, episodic_return=[14.35371769]
SPS: 860
global_step=215214, episodic_return=[-22.14894999]
global_step=216215, episodic_return=[-6.40786979]
SPS: 860
global_step=217216, episodic_return=[-73.5753379]
global_step=218217, episodic_return=[33.74613431]
SPS: 860
global_step=219218, episodic_return=[-525.05328362]
global_step=220219, episodic_return=[79.25793051]
SPS: 859
global_step=221220, episodic_return=[153.53893194]
global_step=222221, episodic_return=[140.24093386]
global_step=223222, episodic_return=[-468.52727461]
SPS: 860
global_step=224223, episodic_return=[13.72093962]
global_step=225224, episodic_return=[-76.41632197]
SPS: 860
global_step=226225, episodic_return=[124.65899019]
global_step=227226, episodic_return=[120.29729405]
SPS: 860
global_step=228227, episodic_return=[85.61534571]
global_step=229228, episodic_return=[47.53512762]
SPS: 860
global_step=230229, episodic_return=[37.7340805]
global_step=231230, episodic_return=[44.49360524]
SPS: 860
