/projectnb/modselrl/venvs/mynewenv/lib/python3.10/site-packages/gymnasium/envs/registration.py:517: DeprecationWarning: [33mWARN: The environment HalfCheetah-v4 is out of date. You should consider upgrading to version `v5`.[0m
  logger.deprecation(
global_step=122121, episodic_return=[-321.35169699]
SPS: 712
global_step=123122, episodic_return=[-304.54293326]
global_step=124123, episodic_return=[-359.8129994]
SPS: 712
global_step=125124, episodic_return=[-337.32909093]
global_step=126125, episodic_return=[-423.80092077]
SPS: 713
global_step=127126, episodic_return=[-381.69965027]
global_step=128127, episodic_return=[-198.38465153]
SPS: 713
global_step=129128, episodic_return=[-366.67979612]
global_step=130129, episodic_return=[-275.30637639]
SPS: 713
global_step=131130, episodic_return=[-345.77362379]
global_step=132131, episodic_return=[-342.0449029]
SPS: 713
global_step=133132, episodic_return=[-330.95425306]
global_step=134133, episodic_return=[-331.02081773]
global_step=135134, episodic_return=[-206.82881929]
SPS: 713
global_step=136135, episodic_return=[-315.08049779]
global_step=137136, episodic_return=[-377.74467915]
SPS: 713
global_step=138137, episodic_return=[-387.07557327]
global_step=139138, episodic_return=[-336.37153162]
SPS: 713
global_step=140139, episodic_return=[-384.91004894]
global_step=141140, episodic_return=[-537.10062821]
SPS: 713
global_step=142141, episodic_return=[-261.55063343]
global_step=143142, episodic_return=[-386.529994]
SPS: 713
global_step=144143, episodic_return=[-364.27914424]
global_step=145144, episodic_return=[-297.65151728]
SPS: 713
global_step=146145, episodic_return=[-416.74988857]
global_step=147146, episodic_return=[-488.46465715]
SPS: 713
global_step=148147, episodic_return=[-289.28763758]
global_step=149148, episodic_return=[-348.54556887]
SPS: 713
global_step=150149, episodic_return=[-327.8788229]
global_step=151150, episodic_return=[-306.3718792]
SPS: 713
global_step=152151, episodic_return=[-463.99141473]
global_step=153152, episodic_return=[-388.79236515]
SPS: 713
global_step=154153, episodic_return=[-268.98171544]
global_step=155154, episodic_return=[-265.46078984]
SPS: 713
global_step=156155, episodic_return=[-310.60701622]
global_step=157156, episodic_return=[-309.46130938]
SPS: 713
global_step=158157, episodic_return=[-304.63804863]
global_step=159158, episodic_return=[-299.2245213]
SPS: 713
global_step=160159, episodic_return=[-281.65565713]
global_step=161160, episodic_return=[-363.64371797]
SPS: 713
global_step=162161, episodic_return=[-286.99960525]
global_step=163162, episodic_return=[-381.06350899]
SPS: 713
global_step=164163, episodic_return=[-340.13925114]
global_step=165164, episodic_return=[-483.40968102]
SPS: 712
global_step=166165, episodic_return=[-407.85949754]
global_step=167166, episodic_return=[-304.06246043]
SPS: 712
global_step=168167, episodic_return=[-364.16857304]
global_step=169168, episodic_return=[-341.3359312]
SPS: 712
global_step=170169, episodic_return=[-339.03082071]
global_step=171170, episodic_return=[-366.31791556]
SPS: 712
global_step=172171, episodic_return=[-327.43838331]
global_step=173172, episodic_return=[-313.8657218]
SPS: 712
global_step=174173, episodic_return=[-294.63352655]
global_step=175174, episodic_return=[-381.21279516]
SPS: 712
global_step=176175, episodic_return=[-294.40384695]
global_step=177176, episodic_return=[-331.22724218]
SPS: 712
global_step=178177, episodic_return=[-328.24683951]
global_step=179178, episodic_return=[-338.96168658]
global_step=180179, episodic_return=[-329.01424681]
SPS: 712
global_step=181180, episodic_return=[-275.84319266]
global_step=182181, episodic_return=[-339.89380857]
SPS: 712
global_step=183182, episodic_return=[-339.60244865]
global_step=184183, episodic_return=[-413.13482727]
SPS: 712
global_step=185184, episodic_return=[-364.34608134]
global_step=186185, episodic_return=[-235.70665888]
SPS: 713
global_step=187186, episodic_return=[-407.36651102]
global_step=188187, episodic_return=[-350.53404729]
SPS: 713
global_step=189188, episodic_return=[-436.6390885]
global_step=190189, episodic_return=[-322.982737]
SPS: 712
global_step=191190, episodic_return=[-350.88893083]
global_step=192191, episodic_return=[-309.57670743]
SPS: 712
global_step=193192, episodic_return=[-216.858265]
global_step=194193, episodic_return=[-313.83752156]
SPS: 712
global_step=195194, episodic_return=[-321.95209799]
global_step=196195, episodic_return=[-273.85287851]
SPS: 712
global_step=197196, episodic_return=[-388.4399773]
global_step=198197, episodic_return=[-309.27534705]
SPS: 712
global_step=199198, episodic_return=[-352.54237834]
global_step=200199, episodic_return=[-163.13258624]
SPS: 712
global_step=201200, episodic_return=[-322.49534085]
global_step=202201, episodic_return=[-384.4374092]
SPS: 712
global_step=203202, episodic_return=[-375.88716431]
global_step=204203, episodic_return=[-328.36942051]
SPS: 712
global_step=205204, episodic_return=[-331.13607017]
global_step=206205, episodic_return=[-343.63005096]
SPS: 712
global_step=207206, episodic_return=[-272.29720285]
global_step=208207, episodic_return=[-317.48780499]
SPS: 712
global_step=209208, episodic_return=[-350.22063144]
global_step=210209, episodic_return=[-445.22856908]
SPS: 712
global_step=211210, episodic_return=[-365.66879342]
global_step=212211, episodic_return=[-311.17510985]
SPS: 713
global_step=213212, episodic_return=[-370.20003908]
global_step=214213, episodic_return=[-440.58688912]
SPS: 713
global_step=215214, episodic_return=[-315.52721581]
global_step=216215, episodic_return=[-484.53357463]
SPS: 713
global_step=217216, episodic_return=[-495.53666647]
global_step=218217, episodic_return=[-455.58850528]
SPS: 713
global_step=219218, episodic_return=[-350.03483325]
global_step=220219, episodic_return=[-404.12227213]
SPS: 713
global_step=221220, episodic_return=[-272.83840804]
global_step=222221, episodic_return=[-336.27991169]
global_step=223222, episodic_return=[-205.77517336]
SPS: 713
global_step=224223, episodic_return=[-330.48335893]
global_step=225224, episodic_return=[-317.47144045]
SPS: 713
global_step=226225, episodic_return=[-449.31426446]
global_step=227226, episodic_return=[-332.64417147]
SPS: 713
global_step=228227, episodic_return=[-318.86763753]
global_step=229228, episodic_return=[-258.04014569]
SPS: 713
global_step=230229, episodic_return=[-437.35215504]
global_step=231230, episodic_return=[-254.63945281]
SPS: 713
global_step=232231, episodic_return=[-435.27032264]
global_step=233232, episodic_return=[-357.59611793]
SPS: 713
global_step=234233, episodic_return=[-307.32601893]
global_step=235234, episodic_return=[-343.72280538]
SPS: 713
global_step=236235, episodic_return=[-270.07945963]
global_step=237236, episodic_return=[-363.08379958]
SPS: 713
global_step=238237, episodic_return=[-247.43096267]
global_step=239238, episodic_return=[-303.71757157]
SPS: 713
global_step=240239, episodic_return=[-342.81606532]
global_step=241240, episodic_return=[-255.82259762]
SPS: 713
global_step=242241, episodic_return=[-568.39543467]
global_step=243242, episodic_return=[-326.03457093]
SPS: 713
global_step=244243, episodic_return=[-317.10578471]
global_step=245244, episodic_return=[-320.28853301]
SPS: 713
global_step=246245, episodic_return=[-350.78025214]
global_step=247246, episodic_return=[-276.28616101]
SPS: 713
global_step=248247, episodic_return=[-311.98265946]
global_step=249248, episodic_return=[-380.75889627]
SPS: 713
global_step=250249, episodic_return=[-261.6680392]
global_step=251250, episodic_return=[-319.95929361]
SPS: 713
global_step=252251, episodic_return=[-346.47930544]
global_step=253252, episodic_return=[-300.40852445]
SPS: 713
global_step=254253, episodic_return=[-451.87417574]
global_step=255254, episodic_return=[-314.40952055]
SPS: 713
global_step=256255, episodic_return=[-321.24532179]
global_step=257256, episodic_return=[-431.95953523]
SPS: 713
global_step=258257, episodic_return=[-348.8651994]
global_step=259258, episodic_return=[-296.51616061]
SPS: 713
global_step=260259, episodic_return=[-428.84621475]
global_step=261260, episodic_return=[-385.57145927]
SPS: 713
global_step=262261, episodic_return=[-388.66323403]
global_step=263262, episodic_return=[-258.74328421]
SPS: 713
global_step=264263, episodic_return=[-368.25574008]
global_step=265264, episodic_return=[-334.33714663]
SPS: 713
global_step=266265, episodic_return=[-296.95656328]
global_step=267266, episodic_return=[-328.9670511]
global_step=268267, episodic_return=[-375.77492451]
SPS: 713
global_step=269268, episodic_return=[-408.00233919]
global_step=270269, episodic_return=[-178.56788821]
SPS: 713
global_step=271270, episodic_return=[-292.82510096]
global_step=272271, episodic_return=[-322.9481042]
SPS: 713
global_step=273272, episodic_return=[-283.04591459]
global_step=274273, episodic_return=[-399.43631587]
SPS: 714
global_step=275274, episodic_return=[-415.0807592]
global_step=276275, episodic_return=[-299.8465492]
SPS: 714
global_step=277276, episodic_return=[-426.48096331]
global_step=278277, episodic_return=[-346.01203019]
SPS: 714
global_step=279278, episodic_return=[-511.94358153]
global_step=280279, episodic_return=[-431.97003881]
SPS: 714
global_step=281280, episodic_return=[-464.30292747]
global_step=282281, episodic_return=[-238.91216957]
SPS: 714
global_step=283282, episodic_return=[-376.96129896]
global_step=284283, episodic_return=[-502.85200305]
SPS: 714
global_step=285284, episodic_return=[-302.61669778]
global_step=286285, episodic_return=[-456.05028194]
SPS: 714
global_step=287286, episodic_return=[-338.19173418]
global_step=288287, episodic_return=[-319.78710963]
SPS: 714
global_step=289288, episodic_return=[-380.04817784]
global_step=290289, episodic_return=[-314.94919304]
SPS: 714
global_step=291290, episodic_return=[-356.91117805]
