/projectnb/modselrl/venvs/mynewenv/lib/python3.10/site-packages/gymnasium/envs/registration.py:517: DeprecationWarning: [33mWARN: The environment HalfCheetah-v4 is out of date. You should consider upgrading to version `v5`.[0m
  logger.deprecation(
global_step=123122, episodic_return=[150.60163043]
global_step=124123, episodic_return=[-262.22731475]
SPS: 787
global_step=125124, episodic_return=[132.01468979]
global_step=126125, episodic_return=[98.92104396]
SPS: 788
global_step=127126, episodic_return=[-70.47298033]
global_step=128127, episodic_return=[279.2216107]
SPS: 788
global_step=129128, episodic_return=[-240.49372237]
global_step=130129, episodic_return=[-26.72047639]
SPS: 789
global_step=131130, episodic_return=[-46.21796586]
global_step=132131, episodic_return=[35.90998464]
SPS: 789
global_step=133132, episodic_return=[-124.26141611]
global_step=134133, episodic_return=[-79.26890258]
global_step=135134, episodic_return=[68.38858734]
SPS: 789
global_step=136135, episodic_return=[-40.3339648]
global_step=137136, episodic_return=[265.43490962]
SPS: 790
global_step=138137, episodic_return=[86.76387657]
global_step=139138, episodic_return=[206.2489741]
SPS: 790
global_step=140139, episodic_return=[-3.520374]
global_step=141140, episodic_return=[-292.26565961]
SPS: 790
global_step=142141, episodic_return=[333.12710799]
global_step=143142, episodic_return=[52.65991624]
SPS: 791
global_step=144143, episodic_return=[243.23975441]
global_step=145144, episodic_return=[171.55583829]
SPS: 791
global_step=146145, episodic_return=[-144.73945594]
global_step=147146, episodic_return=[-154.26555493]
SPS: 792
global_step=148147, episodic_return=[-278.35512994]
global_step=149148, episodic_return=[9.9224985]
SPS: 792
global_step=150149, episodic_return=[-318.71943782]
global_step=151150, episodic_return=[189.25464667]
SPS: 792
global_step=152151, episodic_return=[-38.82159554]
global_step=153152, episodic_return=[-244.88426062]
SPS: 792
global_step=154153, episodic_return=[-155.0813431]
global_step=155154, episodic_return=[254.15603712]
SPS: 792
global_step=156155, episodic_return=[-144.39169193]
global_step=157156, episodic_return=[385.64848472]
SPS: 792
global_step=158157, episodic_return=[293.54845991]
global_step=159158, episodic_return=[382.0309789]
SPS: 792
global_step=160159, episodic_return=[405.90617044]
global_step=161160, episodic_return=[455.96597377]
SPS: 792
global_step=162161, episodic_return=[541.43463306]
global_step=163162, episodic_return=[-518.38296573]
SPS: 792
global_step=164163, episodic_return=[-315.33398413]
global_step=165164, episodic_return=[-25.87862084]
SPS: 792
global_step=166165, episodic_return=[494.24434286]
global_step=167166, episodic_return=[1.83586229]
SPS: 793
global_step=168167, episodic_return=[-327.21383144]
global_step=169168, episodic_return=[18.38803885]
SPS: 793
global_step=170169, episodic_return=[-79.65073591]
global_step=171170, episodic_return=[315.72428321]
SPS: 793
global_step=172171, episodic_return=[-243.91159812]
global_step=173172, episodic_return=[-95.86093353]
SPS: 793
global_step=174173, episodic_return=[580.35912608]
global_step=175174, episodic_return=[175.60253471]
SPS: 793
global_step=176175, episodic_return=[-327.99254735]
global_step=177176, episodic_return=[203.0237325]
SPS: 794
global_step=178177, episodic_return=[591.14187779]
global_step=179178, episodic_return=[420.16917093]
global_step=180179, episodic_return=[551.03538459]
SPS: 794
global_step=181180, episodic_return=[555.26517893]
global_step=182181, episodic_return=[285.13132202]
SPS: 794
global_step=183182, episodic_return=[-279.57521265]
global_step=184183, episodic_return=[771.77956024]
SPS: 795
global_step=185184, episodic_return=[-146.43730475]
global_step=186185, episodic_return=[-94.85876897]
SPS: 795
global_step=187186, episodic_return=[196.02987366]
global_step=188187, episodic_return=[682.98044993]
SPS: 795
global_step=189188, episodic_return=[-117.13829448]
global_step=190189, episodic_return=[236.59372342]
SPS: 796
global_step=191190, episodic_return=[678.65554222]
global_step=192191, episodic_return=[253.93626624]
SPS: 796
global_step=193192, episodic_return=[614.96756768]
global_step=194193, episodic_return=[116.24644522]
SPS: 796
global_step=195194, episodic_return=[771.02162142]
global_step=196195, episodic_return=[-110.37079475]
SPS: 796
global_step=197196, episodic_return=[714.03659257]
global_step=198197, episodic_return=[97.17039077]
SPS: 796
global_step=199198, episodic_return=[-41.74839455]
global_step=200199, episodic_return=[155.9886291]
SPS: 796
global_step=201200, episodic_return=[-116.40096972]
global_step=202201, episodic_return=[750.53763499]
SPS: 796
global_step=203202, episodic_return=[749.00160123]
global_step=204203, episodic_return=[57.09706972]
SPS: 796
global_step=205204, episodic_return=[737.78722932]
global_step=206205, episodic_return=[414.31094263]
SPS: 796
global_step=207206, episodic_return=[764.83164839]
global_step=208207, episodic_return=[764.43964738]
SPS: 796
global_step=209208, episodic_return=[-153.23491809]
global_step=210209, episodic_return=[670.00456541]
SPS: 797
global_step=211210, episodic_return=[288.55687223]
global_step=212211, episodic_return=[62.05467829]
SPS: 797
global_step=213212, episodic_return=[293.72406518]
global_step=214213, episodic_return=[740.66827807]
SPS: 797
global_step=215214, episodic_return=[703.00235051]
global_step=216215, episodic_return=[373.84728791]
SPS: 797
global_step=217216, episodic_return=[-253.43903149]
global_step=218217, episodic_return=[811.60206087]
SPS: 795
global_step=219218, episodic_return=[417.79075956]
global_step=220219, episodic_return=[-124.54893008]
SPS: 794
global_step=221220, episodic_return=[12.4775298]
global_step=222221, episodic_return=[94.12309746]
global_step=223222, episodic_return=[-187.0578972]
SPS: 792
global_step=224223, episodic_return=[900.67489872]
global_step=225224, episodic_return=[500.06547087]
SPS: 791
global_step=226225, episodic_return=[681.51824132]
global_step=227226, episodic_return=[-12.80004992]
SPS: 790
global_step=228227, episodic_return=[726.98664728]
global_step=229228, episodic_return=[338.07917601]
SPS: 787
global_step=230229, episodic_return=[76.12000532]
global_step=231230, episodic_return=[857.28762657]
SPS: 785
global_step=232231, episodic_return=[149.3570126]
global_step=233232, episodic_return=[961.92471266]
SPS: 783
global_step=234233, episodic_return=[103.23080237]
global_step=235234, episodic_return=[206.14386199]
SPS: 783
global_step=236235, episodic_return=[-59.11308672]
global_step=237236, episodic_return=[74.03929635]
SPS: 783
global_step=238237, episodic_return=[-27.78834687]
global_step=239238, episodic_return=[900.89790943]
SPS: 782
global_step=240239, episodic_return=[852.50782411]
global_step=241240, episodic_return=[413.48047078]
SPS: 780
global_step=242241, episodic_return=[429.16156588]
global_step=243242, episodic_return=[528.01283631]
SPS: 779
global_step=244243, episodic_return=[-91.60040432]
global_step=245244, episodic_return=[931.56228452]
SPS: 778
global_step=246245, episodic_return=[885.9703941]
global_step=247246, episodic_return=[825.76504264]
SPS: 778
global_step=248247, episodic_return=[896.46783674]
global_step=249248, episodic_return=[947.83572499]
SPS: 778
global_step=250249, episodic_return=[863.19754745]
global_step=251250, episodic_return=[381.22235568]
SPS: 778
global_step=252251, episodic_return=[1125.98285036]
global_step=253252, episodic_return=[581.43631175]
SPS: 777
global_step=254253, episodic_return=[1037.89041524]
global_step=255254, episodic_return=[1089.44480531]
SPS: 777
global_step=256255, episodic_return=[380.49062747]
global_step=257256, episodic_return=[571.03970408]
SPS: 776
global_step=258257, episodic_return=[854.95398021]
global_step=259258, episodic_return=[505.71708839]
SPS: 776
global_step=260259, episodic_return=[-178.56866447]
global_step=261260, episodic_return=[474.27974497]
SPS: 775
global_step=262261, episodic_return=[-100.78383596]
global_step=263262, episodic_return=[397.1470927]
SPS: 775
global_step=264263, episodic_return=[93.07098371]
global_step=265264, episodic_return=[857.07326813]
SPS: 774
global_step=266265, episodic_return=[336.1194114]
global_step=267266, episodic_return=[361.01166675]
global_step=268267, episodic_return=[605.12349045]
SPS: 774
global_step=269268, episodic_return=[990.06976566]
global_step=270269, episodic_return=[768.04946638]
SPS: 773
global_step=271270, episodic_return=[469.14500543]
global_step=272271, episodic_return=[981.10278279]
SPS: 773
global_step=273272, episodic_return=[1034.66391334]
global_step=274273, episodic_return=[589.06601585]
SPS: 772
global_step=275274, episodic_return=[669.64858733]
global_step=276275, episodic_return=[566.51424195]
SPS: 772
global_step=277276, episodic_return=[829.6263089]
global_step=278277, episodic_return=[1195.47254441]
SPS: 771
global_step=279278, episodic_return=[975.38220588]
global_step=280279, episodic_return=[1076.21636473]
SPS: 771
global_step=281280, episodic_return=[-125.9723655]
global_step=282281, episodic_return=[1070.82420577]
SPS: 770
global_step=283282, episodic_return=[579.86629538]
global_step=284283, episodic_return=[1024.50752366]
SPS: 770
global_step=285284, episodic_return=[1104.00875279]
global_step=286285, episodic_return=[688.29543932]
SPS: 770
global_step=287286, episodic_return=[325.70792409]
global_step=288287, episodic_return=[1160.74696674]
SPS: 770
global_step=289288, episodic_return=[660.24708201]
global_step=290289, episodic_return=[307.26960478]
SPS: 769
global_step=291290, episodic_return=[226.52785046]
global_step=292291, episodic_return=[1152.90817342]
SPS: 769
global_step=293292, episodic_return=[132.57747698]
global_step=294293, episodic_return=[315.28042416]
SPS: 769
global_step=295294, episodic_return=[840.46330841]
global_step=296295, episodic_return=[971.67096715]
SPS: 769
global_step=297296, episodic_return=[991.51149751]
global_step=298297, episodic_return=[1041.10498514]
SPS: 769
global_step=299298, episodic_return=[1216.60578932]
global_step=300299, episodic_return=[1256.77219145]
SPS: 769
global_step=301300, episodic_return=[1113.37914955]
global_step=302301, episodic_return=[1255.56172712]
SPS: 769
global_step=303302, episodic_return=[1160.71057029]
global_step=304303, episodic_return=[287.41665968]
SPS: 768
global_step=305304, episodic_return=[421.10856411]
global_step=306305, episodic_return=[1101.62890028]
SPS: 769
global_step=307306, episodic_return=[1128.4795748]
global_step=308307, episodic_return=[25.44846645]
SPS: 769
global_step=309308, episodic_return=[-62.40271376]
global_step=310309, episodic_return=[423.52688021]
SPS: 769
global_step=311310, episodic_return=[1221.54779376]
global_step=312311, episodic_return=[1080.37470714]
global_step=313312, episodic_return=[1082.46168443]
SPS: 769
global_step=314313, episodic_return=[431.97844849]
global_step=315314, episodic_return=[519.82945639]
SPS: 769
global_step=316315, episodic_return=[1047.57579946]
global_step=317316, episodic_return=[143.16060734]
SPS: 769
global_step=318317, episodic_return=[233.12553829]
global_step=319318, episodic_return=[1177.5147798]
SPS: 769
global_step=320319, episodic_return=[151.34854198]
global_step=321320, episodic_return=[484.3394137]
SPS: 770
global_step=322321, episodic_return=[731.9740052]
global_step=323322, episodic_return=[1215.10223731]
SPS: 769
global_step=324323, episodic_return=[1125.48850868]
global_step=325324, episodic_return=[1103.20782238]
SPS: 769
global_step=326325, episodic_return=[289.07633893]
global_step=327326, episodic_return=[1270.80018863]
SPS: 769
global_step=328327, episodic_return=[1043.96202965]
global_step=329328, episodic_return=[999.65203731]
SPS: 768
global_step=330329, episodic_return=[1090.62538032]
global_step=331330, episodic_return=[1174.08839086]
SPS: 768
global_step=332331, episodic_return=[1212.84348749]
global_step=333332, episodic_return=[621.29723887]
SPS: 768
global_step=334333, episodic_return=[1243.74642514]
global_step=335334, episodic_return=[1125.11782818]
SPS: 767
global_step=336335, episodic_return=[1106.41805531]
global_step=337336, episodic_return=[1245.43042989]
SPS: 766
global_step=338337, episodic_return=[857.97199107]
global_step=339338, episodic_return=[590.33725611]
SPS: 766
global_step=340339, episodic_return=[1236.17634682]
global_step=341340, episodic_return=[1075.63150926]
SPS: 766
global_step=342341, episodic_return=[1262.72300487]
global_step=343342, episodic_return=[679.81047383]
SPS: 766
global_step=344343, episodic_return=[1152.64375282]
global_step=345344, episodic_return=[249.48801766]
SPS: 766
global_step=346345, episodic_return=[697.42169189]
global_step=347346, episodic_return=[1188.85526927]
SPS: 766
global_step=348347, episodic_return=[1241.91787761]
global_step=349348, episodic_return=[116.03802921]
SPS: 766
global_step=350349, episodic_return=[1374.59575756]
global_step=351350, episodic_return=[133.29753562]
SPS: 766
global_step=352351, episodic_return=[412.33691437]
global_step=353352, episodic_return=[1311.80013656]
SPS: 766
global_step=354353, episodic_return=[1244.52709513]
global_step=355354, episodic_return=[467.02629869]
SPS: 766
global_step=356355, episodic_return=[1156.26264981]
global_step=357356, episodic_return=[939.93318744]
global_step=358357, episodic_return=[1310.31666448]
SPS: 767
global_step=359358, episodic_return=[1321.25595348]
global_step=360359, episodic_return=[1350.58860796]
SPS: 766
global_step=361360, episodic_return=[1237.85410841]
global_step=362361, episodic_return=[1104.47589019]
SPS: 766
global_step=363362, episodic_return=[1292.79924938]
global_step=364363, episodic_return=[1171.88404972]
SPS: 766
global_step=365364, episodic_return=[1367.99569816]
global_step=366365, episodic_return=[928.65674965]
SPS: 766
global_step=367366, episodic_return=[924.97042976]
global_step=368367, episodic_return=[944.95836355]
SPS: 766
global_step=369368, episodic_return=[387.94505758]
global_step=370369, episodic_return=[1119.50376828]
SPS: 767
global_step=371370, episodic_return=[887.74131103]
global_step=372371, episodic_return=[1279.93748157]
SPS: 767
global_step=373372, episodic_return=[1354.79779416]
global_step=374373, episodic_return=[1403.07457458]
SPS: 767
global_step=375374, episodic_return=[1238.12223267]
global_step=376375, episodic_return=[978.91053598]
SPS: 767
global_step=377376, episodic_return=[689.5774962]
global_step=378377, episodic_return=[1081.21396584]
SPS: 767
global_step=379378, episodic_return=[1394.02162641]
global_step=380379, episodic_return=[1311.81365422]
SPS: 768
global_step=381380, episodic_return=[1332.05447129]
global_step=382381, episodic_return=[1185.27031558]
SPS: 768
global_step=383382, episodic_return=[1275.48309478]
global_step=384383, episodic_return=[1271.5226854]
SPS: 768
global_step=385384, episodic_return=[1347.44804484]
global_step=386385, episodic_return=[1215.69820225]
SPS: 768
global_step=387386, episodic_return=[1379.92592033]
global_step=388387, episodic_return=[1428.60746679]
SPS: 768
global_step=389388, episodic_return=[1344.12782421]
global_step=390389, episodic_return=[1356.40215289]
SPS: 768
global_step=391390, episodic_return=[1157.87545343]
global_step=392391, episodic_return=[1393.22881123]
SPS: 768
global_step=393392, episodic_return=[1462.29109981]
global_step=394393, episodic_return=[1341.83673351]
SPS: 768
global_step=395394, episodic_return=[1353.12541042]
global_step=396395, episodic_return=[1466.49220773]
SPS: 768
global_step=397396, episodic_return=[1345.33087399]
global_step=398397, episodic_return=[1406.40304532]
SPS: 768
global_step=399398, episodic_return=[1021.36574242]
global_step=400399, episodic_return=[690.15882854]
global_step=401400, episodic_return=[1397.25884308]
SPS: 768
global_step=402401, episodic_return=[684.32111333]
global_step=403402, episodic_return=[1106.50234592]
SPS: 768
global_step=404403, episodic_return=[1410.94410565]
global_step=405404, episodic_return=[359.99993803]
SPS: 769
global_step=406405, episodic_return=[1179.18040725]
global_step=407406, episodic_return=[912.24335899]
SPS: 769
global_step=408407, episodic_return=[1338.99398393]
global_step=409408, episodic_return=[1412.67133811]
SPS: 769
global_step=410409, episodic_return=[449.75282583]
global_step=411410, episodic_return=[1215.0904803]
SPS: 769
global_step=412411, episodic_return=[289.72307174]
global_step=413412, episodic_return=[1535.15579301]
SPS: 769
global_step=414413, episodic_return=[1523.24436975]
global_step=415414, episodic_return=[1503.27811678]
SPS: 769
global_step=416415, episodic_return=[1472.72840655]
global_step=417416, episodic_return=[1260.99294823]
SPS: 769
global_step=418417, episodic_return=[1569.43345067]
global_step=419418, episodic_return=[1425.72387532]
SPS: 769
global_step=420419, episodic_return=[1402.1748244]
global_step=421420, episodic_return=[1410.83956203]
SPS: 769
global_step=422421, episodic_return=[1470.21621291]
global_step=423422, episodic_return=[1356.89410516]
SPS: 769
global_step=424423, episodic_return=[1650.59216969]
global_step=425424, episodic_return=[866.58505331]
SPS: 769
global_step=426425, episodic_return=[727.93981015]
global_step=427426, episodic_return=[1700.44716979]
SPS: 770
global_step=428427, episodic_return=[1544.99441218]
global_step=429428, episodic_return=[806.6588452]
SPS: 770
global_step=430429, episodic_return=[1442.30141931]
global_step=431430, episodic_return=[1002.7333703]
SPS: 770
global_step=432431, episodic_return=[1483.20809031]
global_step=433432, episodic_return=[1480.40061534]
SPS: 770
global_step=434433, episodic_return=[1481.02821852]
global_step=435434, episodic_return=[1464.87807756]
SPS: 770
global_step=436435, episodic_return=[28.76528266]
global_step=437436, episodic_return=[79.8820159]
SPS: 770
global_step=438437, episodic_return=[1799.31301066]
global_step=439438, episodic_return=[1563.45477341]
SPS: 770
global_step=440439, episodic_return=[1628.61917394]
global_step=441440, episodic_return=[851.3612658]
SPS: 770
global_step=442441, episodic_return=[734.79571503]
global_step=443442, episodic_return=[1268.31914448]
SPS: 770
global_step=444443, episodic_return=[1481.74536672]
global_step=445444, episodic_return=[1560.85574943]
global_step=446445, episodic_return=[1442.71260236]
SPS: 770
global_step=447446, episodic_return=[1691.88864039]
global_step=448447, episodic_return=[1079.07709425]
SPS: 770
global_step=449448, episodic_return=[1556.42438304]
global_step=450449, episodic_return=[1498.06011207]
SPS: 770
global_step=451450, episodic_return=[1548.69315226]
global_step=452451, episodic_return=[764.53993518]
SPS: 770
global_step=453452, episodic_return=[1668.90854733]
global_step=454453, episodic_return=[139.08723733]
SPS: 771
global_step=455454, episodic_return=[674.22426859]
global_step=456455, episodic_return=[1702.96810161]
SPS: 771
global_step=457456, episodic_return=[417.74679907]
global_step=458457, episodic_return=[1184.32698468]
SPS: 771
global_step=459458, episodic_return=[1186.0679061]
global_step=460459, episodic_return=[941.71044593]
SPS: 771
global_step=461460, episodic_return=[1575.39854389]
global_step=462461, episodic_return=[682.77491515]
SPS: 771
global_step=463462, episodic_return=[379.79005116]
global_step=464463, episodic_return=[586.43782246]
SPS: 771
global_step=465464, episodic_return=[1347.38296739]
global_step=466465, episodic_return=[759.09425951]
SPS: 771
global_step=467466, episodic_return=[1586.4059757]
global_step=468467, episodic_return=[1399.45786427]
SPS: 772
global_step=469468, episodic_return=[1549.37249519]
global_step=470469, episodic_return=[1757.48867371]
SPS: 772
global_step=471470, episodic_return=[1484.14762499]
global_step=472471, episodic_return=[964.28345555]
SPS: 772
global_step=473472, episodic_return=[856.49141682]
global_step=474473, episodic_return=[1637.27531703]
SPS: 772
global_step=475474, episodic_return=[1951.28851388]
global_step=476475, episodic_return=[1734.71177869]
SPS: 772
global_step=477476, episodic_return=[638.2769863]
global_step=478477, episodic_return=[1643.93145108]
SPS: 772
