/projectnb/modselrl/venvs/mynewenv/lib/python3.10/site-packages/gymnasium/envs/registration.py:517: DeprecationWarning: [33mWARN: The environment HalfCheetah-v4 is out of date. You should consider upgrading to version `v5`.[0m
  logger.deprecation(
global_step=124123, episodic_return=[359.90047607]
SPS: 777
global_step=125124, episodic_return=[363.44917528]
global_step=126125, episodic_return=[460.69913223]
SPS: 776
global_step=127126, episodic_return=[447.65528015]
global_step=128127, episodic_return=[445.82110469]
SPS: 775
global_step=129128, episodic_return=[452.28795394]
global_step=130129, episodic_return=[434.65327635]
SPS: 774
global_step=131130, episodic_return=[442.90871265]
global_step=132131, episodic_return=[388.22359046]
SPS: 774
global_step=133132, episodic_return=[430.49416623]
global_step=134133, episodic_return=[499.17444519]
global_step=135134, episodic_return=[518.89729294]
SPS: 774
global_step=136135, episodic_return=[364.6729695]
global_step=137136, episodic_return=[477.59958723]
SPS: 774
global_step=138137, episodic_return=[538.69980925]
global_step=139138, episodic_return=[490.70555391]
SPS: 774
global_step=140139, episodic_return=[463.03532997]
global_step=141140, episodic_return=[446.68232516]
SPS: 774
global_step=142141, episodic_return=[468.38107256]
global_step=143142, episodic_return=[575.1201495]
SPS: 775
global_step=144143, episodic_return=[464.46332482]
global_step=145144, episodic_return=[524.38106803]
SPS: 775
global_step=146145, episodic_return=[531.93110787]
global_step=147146, episodic_return=[476.74454146]
SPS: 775
global_step=148147, episodic_return=[519.84199414]
global_step=149148, episodic_return=[548.51994073]
SPS: 775
global_step=150149, episodic_return=[474.2738456]
global_step=151150, episodic_return=[577.3333271]
SPS: 775
global_step=152151, episodic_return=[619.17854263]
global_step=153152, episodic_return=[579.13781781]
SPS: 776
global_step=154153, episodic_return=[604.9929843]
global_step=155154, episodic_return=[614.22542802]
SPS: 776
global_step=156155, episodic_return=[598.63698564]
global_step=157156, episodic_return=[583.53482791]
SPS: 776
global_step=158157, episodic_return=[599.94942697]
global_step=159158, episodic_return=[510.6818279]
SPS: 776
global_step=160159, episodic_return=[558.48872065]
global_step=161160, episodic_return=[587.40067947]
SPS: 776
global_step=162161, episodic_return=[647.08601106]
global_step=163162, episodic_return=[583.02444279]
SPS: 774
global_step=164163, episodic_return=[609.09731067]
global_step=165164, episodic_return=[536.36359096]
SPS: 773
global_step=166165, episodic_return=[535.60040502]
global_step=167166, episodic_return=[563.44338252]
SPS: 774
global_step=168167, episodic_return=[554.2371644]
global_step=169168, episodic_return=[568.94491371]
SPS: 774
global_step=170169, episodic_return=[600.57111861]
global_step=171170, episodic_return=[630.25741849]
SPS: 775
global_step=172171, episodic_return=[727.35544803]
global_step=173172, episodic_return=[581.65188307]
SPS: 775
global_step=174173, episodic_return=[609.49577088]
global_step=175174, episodic_return=[643.04200894]
SPS: 775
global_step=176175, episodic_return=[608.35545094]
global_step=177176, episodic_return=[556.57573449]
SPS: 774
global_step=178177, episodic_return=[658.77750133]
global_step=179178, episodic_return=[597.48414888]
global_step=180179, episodic_return=[663.10943125]
SPS: 774
global_step=181180, episodic_return=[677.55854929]
global_step=182181, episodic_return=[720.88995816]
SPS: 775
global_step=183182, episodic_return=[604.665781]
global_step=184183, episodic_return=[621.23110399]
SPS: 774
global_step=185184, episodic_return=[713.92090444]
global_step=186185, episodic_return=[624.21207082]
