/projectnb/modselrl/venvs/mynewenv/lib/python3.10/site-packages/gymnasium/envs/registration.py:517: DeprecationWarning: [33mWARN: The environment HalfCheetah-v4 is out of date. You should consider upgrading to version `v5`.[0m
  logger.deprecation(
global_step=98097, episodic_return=[-309.33238883]
SPS: 710
global_step=99098, episodic_return=[-382.52802211]
global_step=100099, episodic_return=[-317.27827166]
SPS: 710
global_step=101100, episodic_return=[-252.66096887]
global_step=102101, episodic_return=[-319.6062164]
SPS: 710
global_step=103102, episodic_return=[-269.44108776]
global_step=104103, episodic_return=[-251.54340466]
SPS: 710
global_step=105104, episodic_return=[-334.85970266]
global_step=106105, episodic_return=[-393.41950719]
SPS: 710
global_step=107106, episodic_return=[-350.69624073]
global_step=108107, episodic_return=[-405.41353002]
SPS: 711
global_step=109108, episodic_return=[-355.76845487]
global_step=110109, episodic_return=[-394.08496984]
SPS: 711
global_step=111110, episodic_return=[-363.45155558]
global_step=112111, episodic_return=[-326.81188589]
SPS: 711
global_step=113112, episodic_return=[-342.28420325]
global_step=114113, episodic_return=[-266.74470459]
SPS: 711
global_step=115114, episodic_return=[-424.60108453]
global_step=116115, episodic_return=[-457.0022066]
SPS: 711
global_step=117116, episodic_return=[-226.37914836]
global_step=118117, episodic_return=[-345.48466498]
SPS: 711
global_step=119118, episodic_return=[-245.86426192]
global_step=120119, episodic_return=[-183.87164138]
SPS: 711
global_step=121120, episodic_return=[-368.94123696]
global_step=122121, episodic_return=[-299.29196071]
SPS: 711
global_step=123122, episodic_return=[-323.97588489]
global_step=124123, episodic_return=[-327.51600606]
SPS: 711
global_step=125124, episodic_return=[-356.99800671]
global_step=126125, episodic_return=[-406.99366516]
SPS: 712
global_step=127126, episodic_return=[-383.10004948]
global_step=128127, episodic_return=[-297.92802444]
SPS: 712
global_step=129128, episodic_return=[-286.44277699]
global_step=130129, episodic_return=[-284.13105527]
SPS: 712
global_step=131130, episodic_return=[-235.27142824]
global_step=132131, episodic_return=[-478.26630199]
SPS: 712
global_step=133132, episodic_return=[-282.17295171]
global_step=134133, episodic_return=[-352.1918843]
global_step=135134, episodic_return=[-374.06136634]
SPS: 712
global_step=136135, episodic_return=[-464.47958889]
global_step=137136, episodic_return=[-281.66792336]
SPS: 712
global_step=138137, episodic_return=[-278.92669702]
global_step=139138, episodic_return=[-188.00914738]
SPS: 712
global_step=140139, episodic_return=[-332.6372567]
global_step=141140, episodic_return=[-360.70664122]
SPS: 712
global_step=142141, episodic_return=[-332.36238236]
global_step=143142, episodic_return=[-254.16625498]
SPS: 713
global_step=144143, episodic_return=[-278.88878716]
global_step=145144, episodic_return=[-392.11488617]
SPS: 713
global_step=146145, episodic_return=[-284.39794801]
global_step=147146, episodic_return=[-382.6286263]
SPS: 713
global_step=148147, episodic_return=[-332.71386909]
global_step=149148, episodic_return=[-323.99957144]
SPS: 713
global_step=150149, episodic_return=[-285.26436163]
global_step=151150, episodic_return=[-357.49840085]
SPS: 713
global_step=152151, episodic_return=[-358.55682525]
global_step=153152, episodic_return=[-339.93813488]
SPS: 713
global_step=154153, episodic_return=[-409.76322336]
global_step=155154, episodic_return=[-307.74725462]
SPS: 713
global_step=156155, episodic_return=[-173.57984627]
global_step=157156, episodic_return=[-403.40704941]
SPS: 713
global_step=158157, episodic_return=[-290.30365612]
global_step=159158, episodic_return=[-350.96459756]
SPS: 713
global_step=160159, episodic_return=[-341.29868339]
global_step=161160, episodic_return=[-349.28308347]
SPS: 713
global_step=162161, episodic_return=[-307.75255123]
global_step=163162, episodic_return=[-353.48758533]
SPS: 713
global_step=164163, episodic_return=[-244.60215765]
global_step=165164, episodic_return=[-412.0530849]
SPS: 713
global_step=166165, episodic_return=[-333.79273472]
global_step=167166, episodic_return=[-332.60488313]
SPS: 713
global_step=168167, episodic_return=[-468.79092256]
global_step=169168, episodic_return=[-314.16849168]
SPS: 713
global_step=170169, episodic_return=[-366.92828261]
global_step=171170, episodic_return=[-364.61974494]
SPS: 713
global_step=172171, episodic_return=[-170.7512914]
global_step=173172, episodic_return=[-386.83169133]
SPS: 713
global_step=174173, episodic_return=[-259.15978999]
global_step=175174, episodic_return=[-395.19317536]
SPS: 713
global_step=176175, episodic_return=[-333.03263292]
global_step=177176, episodic_return=[-233.84390429]
SPS: 713
global_step=178177, episodic_return=[-226.73598579]
global_step=179178, episodic_return=[-381.1665942]
global_step=180179, episodic_return=[-412.53458003]
SPS: 713
global_step=181180, episodic_return=[-297.12242402]
global_step=182181, episodic_return=[-228.45976916]
SPS: 713
global_step=183182, episodic_return=[-232.79433379]
global_step=184183, episodic_return=[-336.58345149]
SPS: 713
global_step=185184, episodic_return=[-347.62871766]
global_step=186185, episodic_return=[-200.40113068]
SPS: 714
global_step=187186, episodic_return=[-322.12644111]
global_step=188187, episodic_return=[-318.39745575]
SPS: 714
global_step=189188, episodic_return=[-333.57002676]
global_step=190189, episodic_return=[-364.11689724]
SPS: 713
global_step=191190, episodic_return=[-295.83582297]
global_step=192191, episodic_return=[-363.89440202]
SPS: 713
global_step=193192, episodic_return=[-217.70000633]
global_step=194193, episodic_return=[-262.93393224]
SPS: 713
global_step=195194, episodic_return=[-387.02965975]
global_step=196195, episodic_return=[-362.87739297]
SPS: 713
global_step=197196, episodic_return=[-356.62780757]
global_step=198197, episodic_return=[-330.50495909]
SPS: 713
global_step=199198, episodic_return=[-230.63147014]
global_step=200199, episodic_return=[-272.56990504]
SPS: 713
global_step=201200, episodic_return=[-300.47572408]
global_step=202201, episodic_return=[-335.76045212]
SPS: 713
global_step=203202, episodic_return=[-225.80971207]
global_step=204203, episodic_return=[-298.82144178]
SPS: 714
global_step=205204, episodic_return=[-335.33172248]
global_step=206205, episodic_return=[-234.69784941]
SPS: 714
global_step=207206, episodic_return=[-157.460762]
global_step=208207, episodic_return=[-306.89661826]
SPS: 714
global_step=209208, episodic_return=[-270.61442586]
global_step=210209, episodic_return=[-387.82105082]
SPS: 714
global_step=211210, episodic_return=[-288.45298499]
global_step=212211, episodic_return=[-395.94685476]
SPS: 714
global_step=213212, episodic_return=[-273.15008304]
global_step=214213, episodic_return=[-273.12156448]
SPS: 714
global_step=215214, episodic_return=[-244.00226563]
global_step=216215, episodic_return=[-416.24023116]
SPS: 714
global_step=217216, episodic_return=[-350.65003873]
global_step=218217, episodic_return=[-343.64845174]
SPS: 714
global_step=219218, episodic_return=[-311.84246254]
global_step=220219, episodic_return=[-344.6535388]
SPS: 714
global_step=221220, episodic_return=[-233.82721518]
global_step=222221, episodic_return=[-324.46122127]
global_step=223222, episodic_return=[-374.43252379]
SPS: 714
global_step=224223, episodic_return=[-303.92785219]
global_step=225224, episodic_return=[-384.57095839]
SPS: 714
global_step=226225, episodic_return=[-346.10697562]
global_step=227226, episodic_return=[-369.12794896]
SPS: 714
global_step=228227, episodic_return=[-322.7504188]
global_step=229228, episodic_return=[-327.09726074]
SPS: 714
global_step=230229, episodic_return=[-306.11479171]
global_step=231230, episodic_return=[-259.90103435]
SPS: 714
global_step=232231, episodic_return=[-316.15308709]
global_step=233232, episodic_return=[-285.58662234]
SPS: 714
global_step=234233, episodic_return=[-335.43032309]
global_step=235234, episodic_return=[-422.5921472]
SPS: 714
global_step=236235, episodic_return=[-308.68072277]
global_step=237236, episodic_return=[-357.41084405]
SPS: 714
global_step=238237, episodic_return=[-255.15494035]
global_step=239238, episodic_return=[-287.46240362]
SPS: 714
global_step=240239, episodic_return=[-269.06233701]
global_step=241240, episodic_return=[-190.63300979]
SPS: 714
global_step=242241, episodic_return=[-254.89296136]
global_step=243242, episodic_return=[-299.42417869]
SPS: 714
global_step=244243, episodic_return=[-450.96441725]
global_step=245244, episodic_return=[-287.79704322]
SPS: 714
global_step=246245, episodic_return=[-253.16613901]
global_step=247246, episodic_return=[-314.24700859]
SPS: 715
global_step=248247, episodic_return=[-402.5167512]
global_step=249248, episodic_return=[-290.83441677]
SPS: 715
global_step=250249, episodic_return=[-182.55075455]
global_step=251250, episodic_return=[-406.84138324]
SPS: 715
global_step=252251, episodic_return=[-348.64534974]
global_step=253252, episodic_return=[-260.70700668]
SPS: 715
global_step=254253, episodic_return=[-368.55793407]
global_step=255254, episodic_return=[-327.39240526]
SPS: 715
global_step=256255, episodic_return=[-289.543872]
global_step=257256, episodic_return=[-341.07942424]
SPS: 715
global_step=258257, episodic_return=[-330.22692119]
global_step=259258, episodic_return=[-310.61544035]
SPS: 716
global_step=260259, episodic_return=[-150.31918255]
