/projectnb/modselrl/venvs/mynewenv/lib/python3.10/site-packages/gymnasium/envs/registration.py:517: DeprecationWarning: [33mWARN: The environment HalfCheetah-v4 is out of date. You should consider upgrading to version `v5`.[0m
  logger.deprecation(
SPS: 850
global_step=125124, episodic_return=[466.12296953]
global_step=126125, episodic_return=[477.09893766]
SPS: 850
global_step=127126, episodic_return=[564.66833513]
global_step=128127, episodic_return=[578.00849087]
SPS: 851
global_step=129128, episodic_return=[497.61452108]
global_step=130129, episodic_return=[632.84634543]
SPS: 851
global_step=131130, episodic_return=[597.82762714]
global_step=132131, episodic_return=[621.46049203]
SPS: 851
global_step=133132, episodic_return=[589.4946431]
global_step=134133, episodic_return=[463.4802485]
global_step=135134, episodic_return=[573.39058933]
SPS: 851
global_step=136135, episodic_return=[589.48968033]
global_step=137136, episodic_return=[673.62064911]
SPS: 852
global_step=138137, episodic_return=[631.94744624]
global_step=139138, episodic_return=[639.04125813]
SPS: 852
global_step=140139, episodic_return=[632.84305477]
global_step=141140, episodic_return=[561.20010522]
SPS: 852
global_step=142141, episodic_return=[634.62676948]
global_step=143142, episodic_return=[700.71466933]
SPS: 852
global_step=144143, episodic_return=[708.73932455]
global_step=145144, episodic_return=[677.87964815]
SPS: 853
global_step=146145, episodic_return=[639.30191616]
global_step=147146, episodic_return=[547.27936933]
SPS: 853
global_step=148147, episodic_return=[702.49160763]
global_step=149148, episodic_return=[607.44041756]
SPS: 853
global_step=150149, episodic_return=[744.15124579]
global_step=151150, episodic_return=[802.50027404]
SPS: 853
global_step=152151, episodic_return=[572.07010819]
global_step=153152, episodic_return=[700.02308056]
SPS: 853
global_step=154153, episodic_return=[754.38281396]
global_step=155154, episodic_return=[680.51404454]
SPS: 853
global_step=156155, episodic_return=[734.01848523]
global_step=157156, episodic_return=[760.69412279]
SPS: 852
global_step=158157, episodic_return=[726.53611831]
global_step=159158, episodic_return=[563.17104408]
SPS: 852
global_step=160159, episodic_return=[708.07137212]
global_step=161160, episodic_return=[745.60215821]
SPS: 852
global_step=162161, episodic_return=[816.53681624]
global_step=163162, episodic_return=[754.36893764]
SPS: 851
global_step=164163, episodic_return=[617.65777715]
global_step=165164, episodic_return=[743.63437375]
SPS: 850
global_step=166165, episodic_return=[698.27088042]
global_step=167166, episodic_return=[746.43269145]
SPS: 848
global_step=168167, episodic_return=[745.7605378]
global_step=169168, episodic_return=[755.53688666]
SPS: 846
global_step=170169, episodic_return=[838.10330125]
global_step=171170, episodic_return=[753.62539762]
SPS: 844
global_step=172171, episodic_return=[844.12711576]
global_step=173172, episodic_return=[807.215991]
SPS: 843
global_step=174173, episodic_return=[828.68781497]
global_step=175174, episodic_return=[771.12090499]
SPS: 841
global_step=176175, episodic_return=[833.03831683]
global_step=177176, episodic_return=[795.02187467]
SPS: 841
global_step=178177, episodic_return=[832.75156128]
global_step=179178, episodic_return=[762.99366451]
global_step=180179, episodic_return=[814.01849555]
SPS: 841
global_step=181180, episodic_return=[849.75110975]
global_step=182181, episodic_return=[892.56944485]
SPS: 841
global_step=183182, episodic_return=[762.53429233]
global_step=184183, episodic_return=[899.57486946]
SPS: 841
global_step=185184, episodic_return=[934.91581038]
global_step=186185, episodic_return=[925.62848695]
SPS: 841
global_step=187186, episodic_return=[781.54105519]
global_step=188187, episodic_return=[831.30549708]
SPS: 841
global_step=189188, episodic_return=[908.05322161]
global_step=190189, episodic_return=[812.37247321]
SPS: 841
global_step=191190, episodic_return=[858.09698934]
global_step=192191, episodic_return=[862.33108673]
SPS: 841
global_step=193192, episodic_return=[830.01023625]
global_step=194193, episodic_return=[920.36016765]
SPS: 841
global_step=195194, episodic_return=[954.40724523]
global_step=196195, episodic_return=[622.05910872]
SPS: 841
global_step=197196, episodic_return=[891.47684766]
global_step=198197, episodic_return=[885.77041534]
SPS: 841
global_step=199198, episodic_return=[902.17735143]
global_step=200199, episodic_return=[936.4693525]
SPS: 841
global_step=201200, episodic_return=[918.0623795]
global_step=202201, episodic_return=[938.30422315]
SPS: 842
global_step=203202, episodic_return=[962.02776353]
global_step=204203, episodic_return=[918.38147956]
SPS: 841
global_step=205204, episodic_return=[916.76067846]
global_step=206205, episodic_return=[897.4673053]
SPS: 841
global_step=207206, episodic_return=[976.2345708]
global_step=208207, episodic_return=[1015.82848061]
SPS: 841
global_step=209208, episodic_return=[966.65420096]
global_step=210209, episodic_return=[899.92428762]
SPS: 841
global_step=211210, episodic_return=[933.08858412]
global_step=212211, episodic_return=[999.59568779]
SPS: 841
global_step=213212, episodic_return=[890.1169337]
global_step=214213, episodic_return=[1016.06064159]
SPS: 842
global_step=215214, episodic_return=[1061.43608414]
global_step=216215, episodic_return=[954.49543098]
SPS: 842
global_step=217216, episodic_return=[1052.32900373]
global_step=218217, episodic_return=[1011.63544599]
SPS: 842
global_step=219218, episodic_return=[1045.56751727]
global_step=220219, episodic_return=[1094.0805263]
SPS: 842
global_step=221220, episodic_return=[930.26819301]
global_step=222221, episodic_return=[1010.55001727]
global_step=223222, episodic_return=[880.2452409]
SPS: 843
global_step=224223, episodic_return=[1028.22083287]
global_step=225224, episodic_return=[481.71360542]
SPS: 843
global_step=226225, episodic_return=[979.40880276]
global_step=227226, episodic_return=[1026.64198299]
SPS: 843
global_step=228227, episodic_return=[1064.21273728]
global_step=229228, episodic_return=[1001.22823189]
SPS: 843
global_step=230229, episodic_return=[990.95720271]
global_step=231230, episodic_return=[968.52383744]
SPS: 843
global_step=232231, episodic_return=[997.59189628]
global_step=233232, episodic_return=[950.03371801]
SPS: 843
global_step=234233, episodic_return=[970.70872861]
global_step=235234, episodic_return=[1118.36236891]
SPS: 844
global_step=236235, episodic_return=[983.29927983]
global_step=237236, episodic_return=[985.05495705]
SPS: 844
global_step=238237, episodic_return=[1038.67167169]
global_step=239238, episodic_return=[1043.32710432]
SPS: 844
global_step=240239, episodic_return=[944.75174805]
global_step=241240, episodic_return=[1056.3510248]
SPS: 844
global_step=242241, episodic_return=[1041.27746935]
global_step=243242, episodic_return=[925.41314646]
SPS: 844
global_step=244243, episodic_return=[986.32938183]
global_step=245244, episodic_return=[1040.42374244]
SPS: 845
global_step=246245, episodic_return=[1108.26754087]
global_step=247246, episodic_return=[1120.27283844]
SPS: 845
global_step=248247, episodic_return=[1144.65861061]
global_step=249248, episodic_return=[1040.5074789]
SPS: 845
global_step=250249, episodic_return=[1089.72443364]
global_step=251250, episodic_return=[1048.46936276]
SPS: 845
global_step=252251, episodic_return=[1088.68569049]
global_step=253252, episodic_return=[1098.48688836]
SPS: 845
global_step=254253, episodic_return=[1100.08232696]
global_step=255254, episodic_return=[1057.67012688]
SPS: 845
global_step=256255, episodic_return=[1132.09229108]
global_step=257256, episodic_return=[1084.11743392]
SPS: 846
global_step=258257, episodic_return=[1153.3199193]
global_step=259258, episodic_return=[604.79007857]
SPS: 846
global_step=260259, episodic_return=[1140.83910772]
global_step=261260, episodic_return=[1089.57110689]
SPS: 845
global_step=262261, episodic_return=[1120.03836712]
global_step=263262, episodic_return=[1166.03229373]
SPS: 845
global_step=264263, episodic_return=[1061.85420825]
global_step=265264, episodic_return=[1114.97219197]
SPS: 845
global_step=266265, episodic_return=[1168.53452065]
global_step=267266, episodic_return=[1149.15490608]
global_step=268267, episodic_return=[1165.99774346]
SPS: 845
global_step=269268, episodic_return=[1218.53539333]
global_step=270269, episodic_return=[1137.63819164]
SPS: 845
global_step=271270, episodic_return=[1083.89935866]
global_step=272271, episodic_return=[1211.69457492]
SPS: 844
global_step=273272, episodic_return=[1118.89265878]
global_step=274273, episodic_return=[1152.48363372]
SPS: 843
global_step=275274, episodic_return=[1190.8327784]
global_step=276275, episodic_return=[1261.83027411]
SPS: 843
global_step=277276, episodic_return=[1208.09381996]
global_step=278277, episodic_return=[1207.62643431]
SPS: 843
global_step=279278, episodic_return=[1242.95052031]
global_step=280279, episodic_return=[1189.4064506]
SPS: 843
global_step=281280, episodic_return=[1228.65291769]
global_step=282281, episodic_return=[1181.51411427]
SPS: 843
