/projectnb/modselrl/venvs/mynewenv/lib/python3.10/site-packages/gymnasium/envs/registration.py:517: DeprecationWarning: [33mWARN: The environment HalfCheetah-v4 is out of date. You should consider upgrading to version `v5`.[0m
  logger.deprecation(
global_step=122121, episodic_return=[-299.33544867]
SPS: 740
global_step=123122, episodic_return=[-278.52499336]
global_step=124123, episodic_return=[-319.6636657]
SPS: 740
global_step=125124, episodic_return=[-273.21724736]
global_step=126125, episodic_return=[-281.2305709]
SPS: 740
global_step=127126, episodic_return=[-342.59355789]
global_step=128127, episodic_return=[-338.57383761]
SPS: 739
global_step=129128, episodic_return=[-308.97673754]
global_step=130129, episodic_return=[-193.67933155]
SPS: 739
global_step=131130, episodic_return=[-403.99752871]
global_step=132131, episodic_return=[-328.09860123]
SPS: 738
global_step=133132, episodic_return=[-285.15026541]
global_step=134133, episodic_return=[-346.80046976]
global_step=135134, episodic_return=[-289.26918223]
SPS: 738
global_step=136135, episodic_return=[-268.36587042]
global_step=137136, episodic_return=[-291.98787425]
SPS: 737
global_step=138137, episodic_return=[-422.79712359]
global_step=139138, episodic_return=[-351.32029501]
SPS: 737
global_step=140139, episodic_return=[-392.99275323]
global_step=141140, episodic_return=[-239.56314563]
SPS: 736
global_step=142141, episodic_return=[-340.30878889]
global_step=143142, episodic_return=[-324.76029484]
SPS: 736
global_step=144143, episodic_return=[-312.12592681]
global_step=145144, episodic_return=[-351.24393052]
SPS: 736
global_step=146145, episodic_return=[-320.80913311]
global_step=147146, episodic_return=[-336.76289331]
SPS: 735
global_step=148147, episodic_return=[-245.58336733]
global_step=149148, episodic_return=[-268.08776332]
SPS: 736
global_step=150149, episodic_return=[-428.34145444]
global_step=151150, episodic_return=[-306.13018541]
SPS: 736
global_step=152151, episodic_return=[-265.96672147]
global_step=153152, episodic_return=[-438.88383248]
SPS: 736
global_step=154153, episodic_return=[-317.80612178]
global_step=155154, episodic_return=[-439.00059751]
SPS: 736
global_step=156155, episodic_return=[-252.92770651]
global_step=157156, episodic_return=[-297.04229369]
SPS: 736
global_step=158157, episodic_return=[-300.1196043]
global_step=159158, episodic_return=[-263.89484248]
SPS: 737
global_step=160159, episodic_return=[-333.27490478]
global_step=161160, episodic_return=[-399.2983847]
SPS: 737
global_step=162161, episodic_return=[-305.51795339]
global_step=163162, episodic_return=[-323.70029159]
SPS: 737
global_step=164163, episodic_return=[-281.83815022]
global_step=165164, episodic_return=[-339.91888929]
SPS: 737
global_step=166165, episodic_return=[-467.78116516]
global_step=167166, episodic_return=[-281.59978251]
SPS: 737
global_step=168167, episodic_return=[-282.68668267]
global_step=169168, episodic_return=[-299.94774563]
SPS: 737
global_step=170169, episodic_return=[-237.84439266]
global_step=171170, episodic_return=[-266.69597492]
SPS: 738
global_step=172171, episodic_return=[-256.7102341]
global_step=173172, episodic_return=[-438.06942805]
SPS: 738
global_step=174173, episodic_return=[-265.59212438]
global_step=175174, episodic_return=[-290.73489185]
SPS: 738
global_step=176175, episodic_return=[-300.06778952]
global_step=177176, episodic_return=[-218.89260414]
SPS: 738
global_step=178177, episodic_return=[-351.21039206]
global_step=179178, episodic_return=[-273.98277562]
global_step=180179, episodic_return=[-250.94147752]
SPS: 738
global_step=181180, episodic_return=[-220.99483738]
global_step=182181, episodic_return=[-290.18820467]
SPS: 738
global_step=183182, episodic_return=[-390.8319299]
global_step=184183, episodic_return=[-278.39180222]
SPS: 739
global_step=185184, episodic_return=[-315.9726034]
global_step=186185, episodic_return=[-214.75798599]
SPS: 739
global_step=187186, episodic_return=[-312.91443475]
global_step=188187, episodic_return=[-276.99384352]
SPS: 739
global_step=189188, episodic_return=[-310.73306862]
global_step=190189, episodic_return=[-259.54840042]
SPS: 739
global_step=191190, episodic_return=[-247.59080133]
global_step=192191, episodic_return=[-364.39495247]
SPS: 739
global_step=193192, episodic_return=[-244.43681453]
global_step=194193, episodic_return=[-249.52197542]
SPS: 739
global_step=195194, episodic_return=[-272.48206411]
global_step=196195, episodic_return=[-306.18404267]
SPS: 739
global_step=197196, episodic_return=[-235.7520919]
global_step=198197, episodic_return=[-388.6051712]
SPS: 739
global_step=199198, episodic_return=[-261.89135005]
global_step=200199, episodic_return=[-213.19771444]
SPS: 739
global_step=201200, episodic_return=[-337.9441795]
global_step=202201, episodic_return=[-315.12209804]
SPS: 739
global_step=203202, episodic_return=[-249.26237089]
global_step=204203, episodic_return=[-273.33953625]
SPS: 739
global_step=205204, episodic_return=[-298.38994082]
global_step=206205, episodic_return=[-331.99258733]
SPS: 739
global_step=207206, episodic_return=[-263.57143434]
global_step=208207, episodic_return=[-254.47748039]
SPS: 739
global_step=209208, episodic_return=[-397.20076557]
global_step=210209, episodic_return=[-393.63499894]
SPS: 739
global_step=211210, episodic_return=[-220.76402248]
global_step=212211, episodic_return=[-173.94596672]
SPS: 739
global_step=213212, episodic_return=[-336.4039298]
global_step=214213, episodic_return=[-296.81369595]
SPS: 739
global_step=215214, episodic_return=[-260.86305012]
global_step=216215, episodic_return=[-266.26103072]
SPS: 739
global_step=217216, episodic_return=[-411.71173837]
global_step=218217, episodic_return=[-243.12655652]
SPS: 739
global_step=219218, episodic_return=[-311.91936424]
