/projectnb/modselrl/venvs/mynewenv/lib/python3.10/site-packages/gymnasium/envs/registration.py:517: DeprecationWarning: [33mWARN: The environment HalfCheetah-v4 is out of date. You should consider upgrading to version `v5`.[0m
  logger.deprecation(
SPS: 741
global_step=123122, episodic_return=[114.26082367]
global_step=124123, episodic_return=[55.62415307]
SPS: 741
global_step=125124, episodic_return=[36.17180088]
global_step=126125, episodic_return=[18.64871397]
SPS: 741
global_step=127126, episodic_return=[228.531259]
global_step=128127, episodic_return=[67.33898293]
SPS: 741
global_step=129128, episodic_return=[257.03055341]
global_step=130129, episodic_return=[104.54425048]
SPS: 741
global_step=131130, episodic_return=[181.24925095]
global_step=132131, episodic_return=[245.27372526]
SPS: 741
global_step=133132, episodic_return=[112.7867387]
global_step=134133, episodic_return=[115.20866722]
global_step=135134, episodic_return=[215.15618883]
SPS: 741
global_step=136135, episodic_return=[237.77614387]
global_step=137136, episodic_return=[189.43261013]
SPS: 741
global_step=138137, episodic_return=[206.37129774]
global_step=139138, episodic_return=[229.82431676]
SPS: 741
global_step=140139, episodic_return=[210.80684112]
global_step=141140, episodic_return=[342.89810886]
SPS: 741
global_step=142141, episodic_return=[219.07388643]
global_step=143142, episodic_return=[247.78435947]
SPS: 741
global_step=144143, episodic_return=[424.66809637]
global_step=145144, episodic_return=[-41.80275157]
SPS: 741
global_step=146145, episodic_return=[212.96415261]
global_step=147146, episodic_return=[343.64259216]
SPS: 741
global_step=148147, episodic_return=[323.44744601]
global_step=149148, episodic_return=[203.89016299]
SPS: 741
global_step=150149, episodic_return=[353.20531797]
global_step=151150, episodic_return=[393.5755776]
SPS: 741
global_step=152151, episodic_return=[399.29995408]
global_step=153152, episodic_return=[266.84626049]
SPS: 740
global_step=154153, episodic_return=[420.48095784]
global_step=155154, episodic_return=[392.66087431]
SPS: 740
global_step=156155, episodic_return=[390.017298]
global_step=157156, episodic_return=[432.31121998]
SPS: 740
global_step=158157, episodic_return=[427.43641519]
global_step=159158, episodic_return=[426.67527797]
SPS: 740
global_step=160159, episodic_return=[418.07319961]
global_step=161160, episodic_return=[474.24461112]
SPS: 740
global_step=162161, episodic_return=[341.18446441]
global_step=163162, episodic_return=[561.34400932]
SPS: 740
global_step=164163, episodic_return=[45.1640697]
global_step=165164, episodic_return=[458.55356012]
SPS: 740
global_step=166165, episodic_return=[563.43558776]
global_step=167166, episodic_return=[-134.37379818]
SPS: 740
global_step=168167, episodic_return=[517.14369265]
global_step=169168, episodic_return=[479.8488286]
SPS: 740
global_step=170169, episodic_return=[478.63095893]
global_step=171170, episodic_return=[656.60189784]
SPS: 740
global_step=172171, episodic_return=[414.55606285]
global_step=173172, episodic_return=[601.81985133]
SPS: 740
global_step=174173, episodic_return=[547.80295428]
global_step=175174, episodic_return=[395.88901295]
SPS: 740
