/projectnb/modselrl/venvs/mynewenv/lib/python3.10/site-packages/gymnasium/envs/registration.py:517: DeprecationWarning: [33mWARN: The environment HalfCheetah-v4 is out of date. You should consider upgrading to version `v5`.[0m
  logger.deprecation(
global_step=122121, episodic_return=[-330.90872343]
SPS: 777
global_step=123122, episodic_return=[-306.28512715]
global_step=124123, episodic_return=[-319.97301724]
SPS: 776
global_step=125124, episodic_return=[-223.99379223]
global_step=126125, episodic_return=[-377.60042427]
SPS: 775
global_step=127126, episodic_return=[-356.59647215]
global_step=128127, episodic_return=[-492.31791533]
SPS: 775
global_step=129128, episodic_return=[-415.04747196]
global_step=130129, episodic_return=[-272.90504054]
SPS: 774
global_step=131130, episodic_return=[-247.58073875]
global_step=132131, episodic_return=[-481.22560252]
SPS: 774
global_step=133132, episodic_return=[-332.73350698]
global_step=134133, episodic_return=[-586.15479457]
global_step=135134, episodic_return=[-349.16802923]
SPS: 773
global_step=136135, episodic_return=[-416.65295042]
global_step=137136, episodic_return=[-368.6241634]
SPS: 773
global_step=138137, episodic_return=[-351.17093769]
global_step=139138, episodic_return=[-238.17896128]
SPS: 773
global_step=140139, episodic_return=[-423.11816232]
global_step=141140, episodic_return=[-471.33206158]
SPS: 773
global_step=142141, episodic_return=[-353.93557911]
global_step=143142, episodic_return=[-338.00466255]
SPS: 773
global_step=144143, episodic_return=[-420.23539463]
global_step=145144, episodic_return=[-378.9522382]
SPS: 774
global_step=146145, episodic_return=[-339.06348938]
global_step=147146, episodic_return=[-511.82555505]
SPS: 774
global_step=148147, episodic_return=[-270.64916609]
global_step=149148, episodic_return=[-295.76176852]
SPS: 774
global_step=150149, episodic_return=[-308.96697659]
global_step=151150, episodic_return=[-396.00033295]
SPS: 774
global_step=152151, episodic_return=[-412.52595329]
global_step=153152, episodic_return=[-266.24390931]
SPS: 774
global_step=154153, episodic_return=[-314.87627861]
global_step=155154, episodic_return=[-369.04323347]
SPS: 775
global_step=156155, episodic_return=[-256.34381247]
global_step=157156, episodic_return=[-373.9490217]
SPS: 775
global_step=158157, episodic_return=[-343.20729361]
global_step=159158, episodic_return=[-320.72452268]
SPS: 775
global_step=160159, episodic_return=[-356.19384472]
global_step=161160, episodic_return=[-506.76977546]
SPS: 775
global_step=162161, episodic_return=[-289.25944522]
global_step=163162, episodic_return=[-361.77846578]
SPS: 775
global_step=164163, episodic_return=[-316.1122863]
global_step=165164, episodic_return=[-409.29684461]
SPS: 775
