/projectnb/modselrl/venvs/mynewenv/lib/python3.10/site-packages/gymnasium/envs/registration.py:517: DeprecationWarning: [33mWARN: The environment HalfCheetah-v4 is out of date. You should consider upgrading to version `v5`.[0m
  logger.deprecation(
global_step=124123, episodic_return=[-23.53693692]
SPS: 826
global_step=125124, episodic_return=[30.0875796]
global_step=126125, episodic_return=[215.75963761]
SPS: 825
global_step=127126, episodic_return=[153.59803825]
global_step=128127, episodic_return=[131.70513626]
SPS: 825
global_step=129128, episodic_return=[-198.01675875]
global_step=130129, episodic_return=[104.00249486]
SPS: 824
global_step=131130, episodic_return=[251.32178683]
global_step=132131, episodic_return=[274.34404557]
SPS: 824
global_step=133132, episodic_return=[64.69856792]
global_step=134133, episodic_return=[-18.306717]
global_step=135134, episodic_return=[75.54006759]
SPS: 823
global_step=136135, episodic_return=[76.37575281]
global_step=137136, episodic_return=[135.20663311]
SPS: 823
global_step=138137, episodic_return=[365.61879992]
global_step=139138, episodic_return=[313.61694588]
SPS: 823
global_step=140139, episodic_return=[429.2651003]
global_step=141140, episodic_return=[428.38673045]
SPS: 822
global_step=142141, episodic_return=[210.44806427]
global_step=143142, episodic_return=[448.74195761]
SPS: 822
global_step=144143, episodic_return=[62.21936568]
global_step=145144, episodic_return=[-326.45832767]
SPS: 822
global_step=146145, episodic_return=[-99.38385347]
global_step=147146, episodic_return=[466.03417853]
SPS: 822
global_step=148147, episodic_return=[223.66860516]
global_step=149148, episodic_return=[-235.08208455]
SPS: 822
global_step=150149, episodic_return=[122.27980529]
global_step=151150, episodic_return=[460.71501127]
SPS: 822
global_step=152151, episodic_return=[-424.42131676]
global_step=153152, episodic_return=[601.20168194]
SPS: 822
global_step=154153, episodic_return=[601.90426509]
global_step=155154, episodic_return=[408.87937936]
SPS: 822
global_step=156155, episodic_return=[457.90919948]
global_step=157156, episodic_return=[292.57278744]
SPS: 822
global_step=158157, episodic_return=[455.97338175]
global_step=159158, episodic_return=[404.59470182]
SPS: 822
global_step=160159, episodic_return=[376.86971092]
global_step=161160, episodic_return=[440.73083701]
SPS: 821
global_step=162161, episodic_return=[257.0100951]
global_step=163162, episodic_return=[-258.77531312]
SPS: 821
global_step=164163, episodic_return=[293.54953162]
global_step=165164, episodic_return=[126.01029706]
SPS: 822
global_step=166165, episodic_return=[321.33103908]
global_step=167166, episodic_return=[391.28277221]
SPS: 822
global_step=168167, episodic_return=[-637.98886322]
global_step=169168, episodic_return=[338.24650476]
SPS: 822
global_step=170169, episodic_return=[215.85903786]
global_step=171170, episodic_return=[242.06217531]
SPS: 822
global_step=172171, episodic_return=[364.27312174]
global_step=173172, episodic_return=[483.90125818]
SPS: 822
global_step=174173, episodic_return=[476.85649857]
global_step=175174, episodic_return=[-105.63331936]
SPS: 823
global_step=176175, episodic_return=[373.18600676]
global_step=177176, episodic_return=[265.73822572]
SPS: 823
global_step=178177, episodic_return=[373.33684863]
global_step=179178, episodic_return=[174.1513971]
global_step=180179, episodic_return=[266.67039948]
SPS: 822
global_step=181180, episodic_return=[464.76540963]
global_step=182181, episodic_return=[297.92463284]
SPS: 822
global_step=183182, episodic_return=[-7.9287881]
global_step=184183, episodic_return=[368.44119907]
SPS: 823
global_step=185184, episodic_return=[83.58191769]
global_step=186185, episodic_return=[114.617368]
SPS: 822
global_step=187186, episodic_return=[226.41165457]
global_step=188187, episodic_return=[293.98985381]
SPS: 822
global_step=189188, episodic_return=[246.71106271]
global_step=190189, episodic_return=[183.21292341]
SPS: 822
global_step=191190, episodic_return=[62.18388149]
global_step=192191, episodic_return=[299.31424571]
SPS: 822
global_step=193192, episodic_return=[106.98828203]
global_step=194193, episodic_return=[68.7881249]
SPS: 822
global_step=195194, episodic_return=[-20.69456269]
global_step=196195, episodic_return=[260.15626767]
SPS: 822
global_step=197196, episodic_return=[-145.7391476]
global_step=198197, episodic_return=[42.5236828]
SPS: 822
global_step=199198, episodic_return=[266.97606278]
global_step=200199, episodic_return=[209.58739006]
SPS: 822
global_step=201200, episodic_return=[288.90821562]
global_step=202201, episodic_return=[61.45376548]
SPS: 822
global_step=203202, episodic_return=[124.0839713]
global_step=204203, episodic_return=[-2.90442127]
SPS: 822
global_step=205204, episodic_return=[83.12901593]
global_step=206205, episodic_return=[51.12468601]
SPS: 822
global_step=207206, episodic_return=[69.83409164]
global_step=208207, episodic_return=[187.06399826]
SPS: 822
global_step=209208, episodic_return=[153.75971036]
global_step=210209, episodic_return=[244.54424491]
SPS: 822
global_step=211210, episodic_return=[201.09122356]
global_step=212211, episodic_return=[247.13859833]
SPS: 822
global_step=213212, episodic_return=[86.6335294]
global_step=214213, episodic_return=[132.86354482]
SPS: 822
global_step=215214, episodic_return=[63.09298886]
global_step=216215, episodic_return=[-8.70786069]
SPS: 822
global_step=217216, episodic_return=[218.42391171]
global_step=218217, episodic_return=[-3.78730745]
SPS: 822
global_step=219218, episodic_return=[-82.50040949]
global_step=220219, episodic_return=[207.30484114]
SPS: 822
global_step=221220, episodic_return=[-47.620792]
global_step=222221, episodic_return=[270.76590108]
global_step=223222, episodic_return=[184.90746409]
SPS: 822
global_step=224223, episodic_return=[133.12527189]
global_step=225224, episodic_return=[41.4627704]
SPS: 822
global_step=226225, episodic_return=[153.91307819]
global_step=227226, episodic_return=[-200.6311663]
SPS: 822
global_step=228227, episodic_return=[56.90377403]
global_step=229228, episodic_return=[222.1816229]
SPS: 822
global_step=230229, episodic_return=[101.36827006]
global_step=231230, episodic_return=[281.18291256]
SPS: 822
global_step=232231, episodic_return=[154.13995788]
global_step=233232, episodic_return=[135.13961646]
SPS: 822
global_step=234233, episodic_return=[-153.75229281]
global_step=235234, episodic_return=[336.41091]
SPS: 821
global_step=236235, episodic_return=[115.61418791]
global_step=237236, episodic_return=[234.95545215]
SPS: 821
global_step=238237, episodic_return=[267.01329893]
global_step=239238, episodic_return=[362.62290918]
SPS: 821
global_step=240239, episodic_return=[311.17649464]
global_step=241240, episodic_return=[191.24507796]
SPS: 821
global_step=242241, episodic_return=[53.47114654]
global_step=243242, episodic_return=[89.40155465]
SPS: 821
global_step=244243, episodic_return=[115.79467926]
global_step=245244, episodic_return=[181.19527237]
SPS: 821
global_step=246245, episodic_return=[-121.97497411]
global_step=247246, episodic_return=[-53.90941426]
SPS: 821
global_step=248247, episodic_return=[47.12135612]
global_step=249248, episodic_return=[98.98301518]
SPS: 821
global_step=250249, episodic_return=[130.04885441]
global_step=251250, episodic_return=[221.34014238]
SPS: 821
global_step=252251, episodic_return=[208.80644262]
global_step=253252, episodic_return=[58.78013305]
SPS: 821
global_step=254253, episodic_return=[111.26846757]
global_step=255254, episodic_return=[296.5543041]
SPS: 821
global_step=256255, episodic_return=[351.5396513]
global_step=257256, episodic_return=[154.46489317]
SPS: 821
global_step=258257, episodic_return=[123.9724519]
global_step=259258, episodic_return=[-133.51269277]
SPS: 821
global_step=260259, episodic_return=[324.26781009]
global_step=261260, episodic_return=[-38.00179485]
SPS: 821
global_step=262261, episodic_return=[371.58318916]
global_step=263262, episodic_return=[244.31875373]
SPS: 820
global_step=264263, episodic_return=[286.02739891]
global_step=265264, episodic_return=[210.46045971]
SPS: 820
global_step=266265, episodic_return=[197.37249714]
global_step=267266, episodic_return=[258.34503506]
global_step=268267, episodic_return=[231.91952226]
SPS: 820
global_step=269268, episodic_return=[157.34990421]
global_step=270269, episodic_return=[402.417472]
SPS: 820
global_step=271270, episodic_return=[51.44905847]
global_step=272271, episodic_return=[170.54990642]
SPS: 820
global_step=273272, episodic_return=[63.88023335]
global_step=274273, episodic_return=[299.80117576]
SPS: 821
global_step=275274, episodic_return=[357.15338351]
global_step=276275, episodic_return=[519.25368566]
SPS: 821
global_step=277276, episodic_return=[341.91108407]
global_step=278277, episodic_return=[359.35866609]
SPS: 821
global_step=279278, episodic_return=[210.40414138]
global_step=280279, episodic_return=[503.20138007]
SPS: 821
global_step=281280, episodic_return=[326.66529215]
global_step=282281, episodic_return=[356.61202591]
SPS: 821
global_step=283282, episodic_return=[578.33877004]
global_step=284283, episodic_return=[609.92318557]
SPS: 821
global_step=285284, episodic_return=[687.60674234]
global_step=286285, episodic_return=[589.42651598]
SPS: 821
global_step=287286, episodic_return=[603.84274588]
global_step=288287, episodic_return=[324.14477908]
SPS: 821
global_step=289288, episodic_return=[731.41138417]
global_step=290289, episodic_return=[634.34455563]
SPS: 820
global_step=291290, episodic_return=[528.11645091]
global_step=292291, episodic_return=[669.31748194]
SPS: 820
global_step=293292, episodic_return=[-29.69855326]
global_step=294293, episodic_return=[263.55934219]
SPS: 820
global_step=295294, episodic_return=[468.08082327]
global_step=296295, episodic_return=[515.21971786]
SPS: 820
global_step=297296, episodic_return=[341.65899115]
global_step=298297, episodic_return=[534.45829248]
SPS: 820
global_step=299298, episodic_return=[302.9704363]
global_step=300299, episodic_return=[660.22872047]
SPS: 820
global_step=301300, episodic_return=[357.17408238]
global_step=302301, episodic_return=[635.96650817]
SPS: 820
global_step=303302, episodic_return=[607.04906758]
global_step=304303, episodic_return=[560.17925862]
SPS: 820
global_step=305304, episodic_return=[575.8772677]
global_step=306305, episodic_return=[586.29145259]
SPS: 820
global_step=307306, episodic_return=[48.75651492]
global_step=308307, episodic_return=[416.17526908]
SPS: 820
global_step=309308, episodic_return=[552.26359262]
global_step=310309, episodic_return=[702.90671625]
SPS: 820
global_step=311310, episodic_return=[380.53028698]
global_step=312311, episodic_return=[402.10193973]
global_step=313312, episodic_return=[483.44238377]
SPS: 820
global_step=314313, episodic_return=[619.64857846]
global_step=315314, episodic_return=[640.75763629]
SPS: 820
global_step=316315, episodic_return=[494.08270712]
global_step=317316, episodic_return=[415.24877629]
SPS: 820
global_step=318317, episodic_return=[11.18038536]
global_step=319318, episodic_return=[401.21447892]
SPS: 820
global_step=320319, episodic_return=[362.3961523]
global_step=321320, episodic_return=[570.50065053]
SPS: 820
global_step=322321, episodic_return=[560.99410836]
global_step=323322, episodic_return=[510.27237562]
SPS: 820
global_step=324323, episodic_return=[297.35176027]
global_step=325324, episodic_return=[351.82252961]
SPS: 820
global_step=326325, episodic_return=[466.485363]
global_step=327326, episodic_return=[419.26042022]
SPS: 820
global_step=328327, episodic_return=[528.0490897]
global_step=329328, episodic_return=[537.59757474]
SPS: 820
global_step=330329, episodic_return=[428.54566613]
global_step=331330, episodic_return=[509.97476471]
SPS: 820
global_step=332331, episodic_return=[414.82783286]
global_step=333332, episodic_return=[492.61115167]
SPS: 820
global_step=334333, episodic_return=[622.56743322]
global_step=335334, episodic_return=[424.87668239]
SPS: 820
global_step=336335, episodic_return=[528.25823898]
global_step=337336, episodic_return=[420.79793041]
SPS: 820
global_step=338337, episodic_return=[492.65822468]
global_step=339338, episodic_return=[266.65960897]
SPS: 820
global_step=340339, episodic_return=[518.6584324]
global_step=341340, episodic_return=[546.2390441]
SPS: 820
global_step=342341, episodic_return=[594.13149965]
global_step=343342, episodic_return=[174.41932918]
SPS: 820
global_step=344343, episodic_return=[500.06461736]
global_step=345344, episodic_return=[595.99625925]
SPS: 820
global_step=346345, episodic_return=[378.4523093]
global_step=347346, episodic_return=[-33.25533055]
SPS: 820
global_step=348347, episodic_return=[137.78915568]
global_step=349348, episodic_return=[425.48855782]
SPS: 821
global_step=350349, episodic_return=[512.05674192]
global_step=351350, episodic_return=[447.18301325]
SPS: 821
global_step=352351, episodic_return=[612.30716501]
global_step=353352, episodic_return=[585.67720477]
SPS: 821
global_step=354353, episodic_return=[696.84721387]
global_step=355354, episodic_return=[530.12000592]
SPS: 821
global_step=356355, episodic_return=[459.07539641]
global_step=357356, episodic_return=[471.00073804]
global_step=358357, episodic_return=[235.66400319]
SPS: 821
global_step=359358, episodic_return=[376.34498388]
global_step=360359, episodic_return=[658.57095414]
SPS: 821
global_step=361360, episodic_return=[505.32896968]
global_step=362361, episodic_return=[394.24094865]
SPS: 821
global_step=363362, episodic_return=[602.99603168]
global_step=364363, episodic_return=[537.83480134]
SPS: 821
global_step=365364, episodic_return=[82.29069061]
global_step=366365, episodic_return=[590.92527394]
SPS: 821
global_step=367366, episodic_return=[487.84893847]
global_step=368367, episodic_return=[602.47449273]
SPS: 821
global_step=369368, episodic_return=[516.43147662]
global_step=370369, episodic_return=[-71.74357585]
SPS: 821
global_step=371370, episodic_return=[555.59631777]
global_step=372371, episodic_return=[412.81997238]
SPS: 821
global_step=373372, episodic_return=[407.337547]
global_step=374373, episodic_return=[578.97728141]
SPS: 821
global_step=375374, episodic_return=[188.19347725]
global_step=376375, episodic_return=[405.15166219]
SPS: 821
global_step=377376, episodic_return=[536.12791799]
global_step=378377, episodic_return=[169.6887969]
SPS: 821
global_step=379378, episodic_return=[545.0752537]
global_step=380379, episodic_return=[510.18897513]
SPS: 821
global_step=381380, episodic_return=[-21.15897914]
global_step=382381, episodic_return=[466.3449859]
SPS: 820
global_step=383382, episodic_return=[645.37390794]
global_step=384383, episodic_return=[514.93696665]
SPS: 820
global_step=385384, episodic_return=[335.79621391]
global_step=386385, episodic_return=[386.95248838]
SPS: 820
global_step=387386, episodic_return=[583.13678505]
global_step=388387, episodic_return=[-53.81015118]
SPS: 821
global_step=389388, episodic_return=[464.99202284]
global_step=390389, episodic_return=[495.15823664]
SPS: 820
global_step=391390, episodic_return=[263.26796353]
global_step=392391, episodic_return=[538.35748351]
SPS: 820
global_step=393392, episodic_return=[269.60992525]
global_step=394393, episodic_return=[343.00772049]
SPS: 820
global_step=395394, episodic_return=[211.83154071]
global_step=396395, episodic_return=[456.9116772]
SPS: 820
global_step=397396, episodic_return=[566.57965857]
global_step=398397, episodic_return=[207.98600496]
SPS: 820
global_step=399398, episodic_return=[403.54593218]
global_step=400399, episodic_return=[654.48798989]
global_step=401400, episodic_return=[627.60386087]
SPS: 820
global_step=402401, episodic_return=[591.3347896]
global_step=403402, episodic_return=[658.97998645]
SPS: 820
global_step=404403, episodic_return=[-182.98941933]
global_step=405404, episodic_return=[223.11706188]
SPS: 821
global_step=406405, episodic_return=[378.64000004]
global_step=407406, episodic_return=[195.7452865]
SPS: 821
global_step=408407, episodic_return=[580.15409192]
global_step=409408, episodic_return=[600.57922938]
SPS: 821
global_step=410409, episodic_return=[454.2909517]
global_step=411410, episodic_return=[281.44241401]
SPS: 821
global_step=412411, episodic_return=[219.26264499]
global_step=413412, episodic_return=[64.9792656]
SPS: 821
global_step=414413, episodic_return=[387.85191864]
global_step=415414, episodic_return=[467.14129106]
SPS: 821
global_step=416415, episodic_return=[344.9982098]
global_step=417416, episodic_return=[391.75305475]
SPS: 821
global_step=418417, episodic_return=[393.71435749]
global_step=419418, episodic_return=[175.9769569]
SPS: 821
global_step=420419, episodic_return=[487.18252414]
global_step=421420, episodic_return=[492.58241417]
SPS: 821
global_step=422421, episodic_return=[301.53567608]
global_step=423422, episodic_return=[302.37504729]
SPS: 821
global_step=424423, episodic_return=[478.21202756]
global_step=425424, episodic_return=[403.42950858]
SPS: 821
global_step=426425, episodic_return=[321.84870735]
global_step=427426, episodic_return=[334.83804136]
SPS: 821
global_step=428427, episodic_return=[355.70025656]
global_step=429428, episodic_return=[417.89697077]
SPS: 821
global_step=430429, episodic_return=[186.77371693]
global_step=431430, episodic_return=[516.58408909]
SPS: 821
global_step=432431, episodic_return=[528.30059479]
global_step=433432, episodic_return=[517.2676986]
SPS: 821
global_step=434433, episodic_return=[311.10255743]
global_step=435434, episodic_return=[279.74639663]
SPS: 821
global_step=436435, episodic_return=[117.7787784]
global_step=437436, episodic_return=[552.03385036]
SPS: 821
global_step=438437, episodic_return=[-112.4218237]
global_step=439438, episodic_return=[422.98806311]
SPS: 821
global_step=440439, episodic_return=[321.43898037]
global_step=441440, episodic_return=[509.42581527]
SPS: 821
